"target"
"AUT"
"BEL"
"BGR"
"CYP"
"CZE"
"DEU"
"DNK"
"ESP"
"EST"
"FIN"
"FRA"
"GRC"
"HRV"
"HUN"
"IRL"
"ITA"
"LTU"
"LUX"
"LVA"
"NLD"
"POL"
"PRT"
"SVK"
"SVN"
"SWE"
